date,ticker,name,industry,source_type,source_name,source_ticker_or_etf,source_weight,source_date,etf_count,active_etf_flag,momentum_etf_flag,us_mapping_flag,already_in_universe,data_quality_status,discovery_status,discovery_score,recommended_action,note
2026-05-07,2330,台積電,晶圓代工,ETF_HOLDING,元大台灣50,"0050,0052,006208,00830,00881,00891,00892,00904,00992A,00993A,00994A",0.672,2026-04-30,11,True,True,False,True,EXISTING_UNIVERSE_REINFORCED,EXISTING_UNIVERSE_REINFORCED,170.0,WATCH_EXISTING_UNIVERSE,AI watchlist confirmed
2026-05-07,2454,聯發科,ASIC/IC 設計,ETF_HOLDING,元大台灣50,"0050,0052,006208,00830,00881,00891,00892,00904,00992A,00993A,00994A",0.1256,2026-04-30,11,True,True,False,True,EXISTING_UNIVERSE_REINFORCED,EXISTING_UNIVERSE_REINFORCED,170.0,WATCH_EXISTING_UNIVERSE,AI watchlist confirmed
2026-05-07,3661,世芯-KY,矽智財 (IP),ETF_HOLDING,國泰台灣5G+,"00881,00891,00892,00904,00992A,00993A,00994A",0.1256,2026-04-30,7,True,True,False,True,EXISTING_UNIVERSE_REINFORCED,EXISTING_UNIVERSE_REINFORCED,130.0,WATCH_EXISTING_UNIVERSE,AI watchlist confirmed
2026-05-07,3711,日月光投控,先進封裝龍頭,ETF_HOLDING,元大台灣50,"0050,0052,006208,00891,00892,00904,00994A",0.0892,2026-04-30,7,True,False,False,True,EXISTING_UNIVERSE_REINFORCED,EXISTING_UNIVERSE_REINFORCED,120.0,WATCH_EXISTING_UNIVERSE,AI watchlist confirmed
2026-05-07,6669,緯穎,雲端代工 (ODM),ETF_HOLDING,元大台灣50,"0050,0052,006208,00881,00992A,00993A,00994A",0.0789,2026-04-30,7,True,True,False,True,EXISTING_UNIVERSE_REINFORCED,EXISTING_UNIVERSE_REINFORCED,120.0,WATCH_EXISTING_UNIVERSE,AI watchlist confirmed
2026-05-07,3443,創意,Core,ETF_HOLDING,富邦科技,"0052,00881,00891,00892,00904,00992A,00993A,00994A",0.0789,2026-04-30,8,True,True,False,True,EXISTING_UNIVERSE_REINFORCED,EXISTING_UNIVERSE_REINFORCED,120.0,WATCH_EXISTING_UNIVERSE,
2026-05-07,2382,廣達,系統代工 (ODM),ETF_HOLDING,元大台灣50,"0050,006208,00830,00881,00994A",0.0712,2026-04-30,5,True,True,False,True,EXISTING_UNIVERSE_REINFORCED,EXISTING_UNIVERSE_REINFORCED,100.0,WATCH_EXISTING_UNIVERSE,AI watchlist confirmed
2026-05-07,2345,智邦,高速交換器,ETF_HOLDING,國泰台灣5G+,"00881,00992A,00994A",0.0656,2026-04-30,3,True,True,False,True,EXISTING_UNIVERSE_REINFORCED,EXISTING_UNIVERSE_REINFORCED,80.0,WATCH_EXISTING_UNIVERSE,AI watchlist confirmed
2026-05-07,2317,鴻海,系統代工 (ODM),ETF_HOLDING,元大台灣50,"0050,0052,006208,00830",0.0712,2026-04-30,4,False,True,False,True,EXISTING_UNIVERSE_REINFORCED,EXISTING_UNIVERSE_REINFORCED,75.0,WATCH_EXISTING_UNIVERSE,AI watchlist confirmed
2026-05-07,2303,聯電,Core,ETF_HOLDING,元大台灣50,"0050,0052,006208,00891,00892,00904",0.0921,2026-04-30,6,False,False,False,True,EXISTING_UNIVERSE_REINFORCED,EXISTING_UNIVERSE_REINFORCED,75.0,WATCH_EXISTING_UNIVERSE,
2026-05-07,2308,台達電,電源 / 能源,ETF_HOLDING,元大台灣50,"0050,006208,00830",0.0589,2026-04-30,3,False,True,False,True,EXISTING_UNIVERSE_REINFORCED,EXISTING_UNIVERSE_REINFORCED,65.0,WATCH_EXISTING_UNIVERSE,AI watchlist confirmed
2026-05-07,2449,京元電子,封裝測試,ETF_HOLDING,中信關鍵半導體,"00891,00892,00904",0.0456,2026-04-30,3,False,False,False,True,EXISTING_UNIVERSE_REINFORCED,EXISTING_UNIVERSE_REINFORCED,65.0,WATCH_EXISTING_UNIVERSE,AI watchlist confirmed
2026-05-07,3363,上詮,矽光子 / CPO,ETF_HOLDING,群益台灣科技創新,"00733,00992A,00993A",0.0512,2026-04-30,3,True,False,False,False,NEW_DISCOVERY_CANDIDATE,NEW_DISCOVERY_CANDIDATE,65.0,REVIEW_FOR_UNIVERSE_ADD,AI watchlist confirmed
2026-05-07,4979,華星光,光收發模組,ETF_HOLDING,群益台灣科技創新,"00733,00992A,00993A",0.0445,2026-04-30,3,True,False,False,False,NEW_DISCOVERY_CANDIDATE,NEW_DISCOVERY_CANDIDATE,65.0,REVIEW_FOR_UNIVERSE_ADD,AI watchlist confirmed
2026-05-07,3081,聯亞,矽光子磊晶,ETF_HOLDING,中信AI晶片,"00733,00993A",0.0423,2026-04-30,2,True,False,False,False,NEW_DISCOVERY_CANDIDATE,NEW_DISCOVERY_CANDIDATE,55.0,REVIEW_FOR_UNIVERSE_ADD,AI watchlist confirmed
2026-05-07,3105,穩懋,二類半導體,ETF_HOLDING,中信AI晶片,"00733,00993A",0.0389,2026-04-30,2,True,False,False,False,NEW_DISCOVERY_CANDIDATE,NEW_DISCOVERY_CANDIDATE,55.0,REVIEW_FOR_UNIVERSE_ADD,AI watchlist confirmed
2026-05-07,6515,穎崴,記憶體介面,ETF_HOLDING,中信關鍵半導體,"00891,00904",0.0456,2026-04-30,2,False,False,False,False,NEW_DISCOVERY_CANDIDATE,NEW_DISCOVERY_CANDIDATE,50.0,REVIEW_FOR_UNIVERSE_ADD,AI watchlist confirmed
2026-05-07,6239,力成,Packaging,ETF_HOLDING,中信關鍵半導體,"00891,00904",0.0389,2026-04-30,2,False,False,False,True,EXISTING_UNIVERSE_REINFORCED,EXISTING_UNIVERSE_REINFORCED,35.0,WATCH_EXISTING_UNIVERSE,
2026-05-07,6147,頎邦,Packaging,ETF_HOLDING,中信關鍵半導體,"00891,00904",0.0389,2026-04-30,2,False,False,False,True,EXISTING_UNIVERSE_REINFORCED,EXISTING_UNIVERSE_REINFORCED,35.0,WATCH_EXISTING_UNIVERSE,
